행정동_명칭,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
길음1동,403336024,12245019.0,31336.0,5879.0,3764.0,2286.0,70228.0,218593.0,579301.0,1465390.0,1513544.0,884773.0,648503.0,582049.0,628691.0,620073.0,575768.0,608578.0,700447.0,737789.0,736425.0,487672.0,361262.0,323307.0,323115.0,136246.0
길음2동,403336752,3612474.0,16561.0,3708.0,1665.0,1718.0,35730.0,57032.0,80778.0,176509.0,221721.0,165567.0,152938.0,168756.0,187728.0,199258.0,215242.0,245800.0,278093.0,287106.0,337059.0,245538.0,228529.0,134804.0,119807.0,50827.0
낙성대동,408065112,5321774.0,22569.0,4720.0,3804.0,4975.0,42463.0,72173.0,119947.0,208479.0,395696.0,364046.0,291158.0,250676.0,296397.0,307661.0,280300.0,292472.0,353017.0,353270.0,384458.0,309696.0,266696.0,281451.0,261690.0,153960.0
난곡동,408073484,3710853.0,4363.0,183.0,1.0,12.0,67121.0,144381.0,192959.0,448095.0,479062.0,321765.0,234583.0,208809.0,218087.0,199880.0,183172.0,180986.0,190926.0,171296.0,156695.0,108016.0,80622.0,59207.0,43267.0,17365.0
난향동,408069844,1942662.0,3805.0,76.0,0.0,1216.0,27380.0,56636.0,99726.0,262979.0,222044.0,148064.0,122202.0,106341.0,111711.0,105487.0,94111.0,97474.0,107583.0,99138.0,91826.0,63430.0,47372.0,36084.0,26504.0,11473.0
남가좌1동,405157116,4221426.0,15925.0,4435.0,1450.0,706.0,45635.0,75913.0,170282.0,468340.0,471595.0,285426.0,231185.0,231283.0,249539.0,229059.0,216765.0,229514.0,248452.0,249859.0,257110.0,182053.0,123023.0,104287.0,86278.0,43312.0
남가좌2동,405157480,4093986.0,9120.0,1988.0,744.0,887.0,16196.0,69511.0,166557.0,371268.0,374595.0,265497.0,220531.0,217031.0,233492.0,244391.0,241825.0,257000.0,287179.0,280707.0,242667.0,169385.0,141206.0,126992.0,108621.0,46596.0
남영동,401511292,12656306.0,55402.0,10740.0,4884.0,3884.0,18143.0,113737.0,274145.0,653565.0,993115.0,677755.0,540388.0,552684.0,623097.0,628175.0,646550.0,727610.0,899904.0,1023001.0,1336489.0,752707.0,632349.0,658103.0,551961.0,277918.0
남현동,408066932,23832091.0,95989.0,15393.0,4739.0,4645.0,33161.0,315654.0,670321.0,1798242.0,2399486.0,1799225.0,1156331.0,1023348.0,1132486.0,1150279.0,1161954.0,1182123.0,1275044.0,1503593.0,1779086.0,1223474.0,1141091.0,1285873.0,1112533.0,568021.0
내곡동,408432752,3392651.0,5225.0,894.0,168.0,126.0,7399.0,31195.0,88920.0,235183.0,267881.0,188083.0,145907.0,143402.0,169231.0,176803.0,199591.0,235390.0,287787.0,419647.0,382908.0,156752.0,102787.0,79187.0,50188.0,17997.0
