구,동,평균직장인구
성북구,월곡2동,40.33333333333333
성북구,장위1동,16.666666666666664
성북구,장위2동,28.833333333333336
성북구,장위3동,22.166666666666664
성북구,석관동,25.333333333333336
강북구,삼양동,14.166666666666668
강북구,미아동,29.333333333333336
강북구,송중동,27.833333333333336
강북구,송천동,30.5
강북구,삼각산동,21.166666666666664
강북구,번1동,57.66666666666667
강북구,번2동,16.833333333333332
강북구,번3동,13.0
강북구,수유1동,15.166666666666668
강북구,수유2동,36.33333333333333
강북구,수유3동,58.5
강북구,우이동,2.5
강북구,인수동,13.166666666666668
도봉구,창1동,17.0
도봉구,창2동,35.83333333333333
도봉구,창3동,13.833333333333332
도봉구,창4동,30.0
도봉구,창5동,87.16666666666666
도봉구,도봉1동,3.833333333333333
도봉구,도봉2동,30.166666666666664
도봉구,쌍문1동,19.0
도봉구,쌍문2동,44.5
도봉구,쌍문3동,42.16666666666667
도봉구,쌍문4동,24.0
도봉구,방학1동,57.16666666666667
도봉구,방학2동,10.5
도봉구,방학3동,13.333333333333334
노원구,월계1동,23.333333333333336
노원구,월계2동,9.166666666666666
노원구,월계3동,14.333333333333332
노원구,공릉1동,69.0
노원구,공릉2동,9.5
노원구,하계1동,43.66666666666667
노원구,하계2동,23.83333333333333
노원구,중계본동,10.833333333333332
노원구,중계1동,33.0
노원구,중계4동,13.666666666666668
노원구,중계2.3동,28.333333333333336
노원구,상계1동,12.666666666666668
노원구,상계2동,57.0
노원구,상계3.4동,4.833333333333334
노원구,상계5동,41.0
노원구,상계6.7동,54.83333333333333
노원구,상계8동,15.833333333333332
노원구,상계9동,23.333333333333336
노원구,상계10동,13.666666666666668
은평구,녹번동,33.333333333333336
은평구,불광1동,10.333333333333332
은평구,불광2동,21.0
은평구,갈현1동,26.5
은평구,갈현2동,33.33333333333333
은평구,구산동,34.5
은평구,대조동,36.83333333333333
은평구,응암1동,30.166666666666664
은평구,응암2동,17.833333333333336
은평구,응암3동,30.666666666666664
은평구,역촌동,39.66666666666667
은평구,신사1동,28.666666666666664
은평구,신사2동,19.333333333333336
은평구,증산동,29.666666666666668
은평구,수색동,14.5
은평구,진관동,3.5
서대문구,천연동,20.0
서대문구,북아현동,33.5
서대문구,충현동,172.0
서대문구,신촌동,51.5
서대문구,연희동,40.0
서대문구,홍제1동,13.5
서대문구,홍제3동,13.666666666666668
서대문구,홍제2동,14.5
서대문구,홍은1동,18.166666666666664
서대문구,홍은2동,22.0
서대문구,남가좌1동,56.5
서대문구,남가좌2동,32.16666666666667
서대문구,북가좌1동,39.83333333333333
서대문구,북가좌2동,35.16666666666667
마포구,아현동,256.6666666666667
마포구,공덕동,104.83333333333334
마포구,도화동,162.0
마포구,용강동,190.0
마포구,대흥동,59.66666666666667
마포구,염리동,227.83333333333331
마포구,신수동,54.0
마포구,서강동,46.16666666666667
마포구,서교동,240.66666666666669
마포구,합정동,49.83333333333333
마포구,망원1동,28.166666666666664
마포구,망원2동,24.5
마포구,연남동,65.0
마포구,성산1동,103.0
마포구,성산2동,33.0
마포구,상암동,33.666666666666664
양천구,목1동,116.16666666666669
양천구,목2동,39.16666666666667
양천구,목3동,48.33333333333333
양천구,목4동,48.16666666666667
양천구,목5동,92.5
양천구,신월1동,41.16666666666667
양천구,신월2동,43.83333333333333
양천구,신월3동,22.666666666666664
양천구,신월4동,40.33333333333333
양천구,신월5동,45.0
양천구,신월6동,28.333333333333336
양천구,신월7동,26.333333333333336
양천구,신정1동,106.0
양천구,신정2동,98.5
양천구,신정3동,25.666666666666664
양천구,신정4동,73.33333333333334
양천구,신정6동,131.5
양천구,신정7동,36.33333333333333
강서구,염창동,72.0
강서구,등촌1동,291.0
강서구,등촌2동,40.66666666666667
강서구,등촌3동,164.5
강서구,화곡1동,42.66666666666667
강서구,화곡2동,35.5
강서구,화곡3동,73.5
강서구,화곡4동,27.5
강서구,화곡본동,26.5
강서구,화곡6동,106.83333333333334
강서구,화곡8동,38.0
강서구,가양1동,31.83333333333333
강서구,가양2동,26.666666666666664
강서구,가양3동,68.16666666666667
강서구,발산1동,18.5
강서구,우장산동,45.16666666666667
강서구,공항동,34.166666666666664
강서구,방화1동,73.83333333333334
강서구,방화2동,6.5
강서구,방화3동,21.833333333333336
구로구,신도림동,86.5
구로구,구로1동,38.0
구로구,구로2동,115.16666666666666
구로구,구로3동,657.5
구로구,구로4동,45.0
구로구,구로5동,166.0
구로구,가리봉동,32.166666666666664
구로구,고척1동,63.833333333333336
구로구,고척2동,26.333333333333336
구로구,개봉1동,34.66666666666667
구로구,개봉2동,56.833333333333336
구로구,개봉3동,42.5
구로구,오류1동,48.83333333333333
구로구,오류2동,11.0
구로구,수궁동,15.666666666666668
금천구,가산동,513.8333333333334
금천구,독산1동,78.0
금천구,독산2동,33.16666666666667
금천구,독산3동,46.0
금천구,독산4동,30.5
금천구,시흥1동,59.83333333333333
금천구,시흥2동,20.833333333333336
금천구,시흥3동,65.0
금천구,시흥4동,14.833333333333334
금천구,시흥5동,13.333333333333332
영등포구,영등포본동,47.33333333333333
영등포구,영등포동,138.83333333333334
영등포구,여의동,370.83333333333337
영등포구,당산1동,216.66666666666669
영등포구,당산2동,152.16666666666666
영등포구,도림동,38.16666666666667
영등포구,문래동,348.16666666666663
영등포구,양평1동,192.16666666666669
영등포구,양평2동,97.66666666666669
영등포구,신길1동,50.66666666666667
영등포구,신길3동,28.166666666666664
영등포구,신길4동,41.66666666666667
영등포구,신길5동,27.833333333333336
영등포구,신길6동,41.83333333333333
영등포구,신길7동,44.0
영등포구,대림1동,53.5
영등포구,대림2동,55.333333333333336
영등포구,대림3동,93.33333333333334
동작구,노량진1동,28.33333333333333
동작구,노량진2동,80.33333333333334
동작구,상도1동,35.0
동작구,상도2동,28.5
동작구,상도3동,22.166666666666664
동작구,상도4동,22.833333333333336
동작구,흑석동,18.5
동작구,사당1동,76.5
동작구,사당2동,11.0
동작구,사당3동,75.16666666666666
동작구,사당4동,29.0
동작구,사당5동,21.166666666666664
동작구,대방동,68.0
동작구,신대방1동,80.16666666666666
동작구,신대방2동,184.3333333333333
관악구,보라매동,48.833333333333336
관악구,청림동,56.833333333333336
관악구,성현동,60.0
관악구,행운동,51.5
