,구별,동별,2018,2019,2020,2021,2022
329,동작구,상도3동,26181,26041,25416,24846,24456
330,동작구,상도4동,30264,29893,29306,28914,28564
331,동작구,사당1동,24064,24026,23632,23321,23009
332,동작구,사당3동,26762,26034,25244,24548,24189
333,동작구,사당4동,15091,14921,14599,14301,14185
334,동작구,사당5동,13207,12886,14811,14558,14434
335,동작구,대방동,40360,40177,39172,38338,37056
336,동작구,신대방1동,27214,26599,25823,24999,25118
337,동작구,신대방2동,21076,20719,20466,21404,22445
338,동작구,흑석동,33231,35551,34544,33293,30694
339,동작구,노량진1동,32802,32563,32387,32298,32114
340,동작구,사당2동,28742,28290,27658,28147,28786
342,관악구,보라매동,26398,26496,25278,24918,24660
343,관악구,청림동,16527,16286,15711,15214,15005
344,관악구,행운동,30438,30061,29799,29413,29636
345,관악구,낙성대동,17780,17623,17579,17434,17928
346,관악구,중앙동,15716,15895,15758,15487,15685
347,관악구,인헌동,27293,27088,26500,26154,26119
348,관악구,남현동,18998,18980,18598,18274,18163
349,관악구,서원동,23933,24068,23565,23278,23511
350,관악구,신원동,20119,19742,19290,18675,18620
351,관악구,서림동,24881,24339,24410,23689,24361
352,관악구,신사동,26442,25960,25426,24838,24719
353,관악구,신림동,22256,22525,22667,23128,23877
354,관악구,난향동,16693,16394,15915,15420,15050
355,관악구,조원동,19824,19579,19232,18786,20490
356,관악구,대학동,24823,24457,24907,24921,26301
357,관악구,은천동,35797,35337,34595,33631,33156
358,관악구,성현동,33033,31175,30472,29394,28830
359,관악구,청룡동,30242,34440,36325,36482,37132
360,관악구,난곡동,29484,28912,28054,27216,26679
361,관악구,삼성동,26068,25226,23935,22041,20642
362,관악구,미성동,33295,32751,31787,31056,30662
364,서초구,서초1동,21574,21579,21187,20711,20622
365,서초구,서초2동,18506,18837,21731,26595,26932
366,서초구,서초3동,30754,30951,32307,32769,32379
367,서초구,서초4동,31817,31988,31718,31089,30521
368,서초구,잠원동,34962,35131,28532,26946,26393
369,서초구,반포본동,12583,12190,11991,2000,292
370,서초구,반포1동,32109,33237,32630,34815,34443
371,서초구,반포2동,16761,16385,16240,15801,15742
372,서초구,반포3동,20434,20390,22412,22245,22773
373,서초구,반포4동,20600,20232,19977,19807,19486
374,서초구,방배본동,21746,21585,21293,21083,20778
375,서초구,방배1동,17683,17524,17381,16980,16883
376,서초구,방배2동,22491,20958,20404,19474,18553
377,서초구,방배3동,22268,22455,21441,18861,17321
378,서초구,방배4동,24442,24083,24036,23817,23429
379,서초구,양재1동,46713,45940,44890,43408,42683
380,서초구,양재2동,24032,23161,22709,22144,21766
381,서초구,내곡동,18688,18481,18146,17622,17455
383,강남구,신사동,17813,17546,16914,16213,15876
384,강남구,개포3동,0,0,0,0,17382
385,강남구,논현1동,24061,23792,23734,22702,22080
386,강남구,논현2동,22304,21904,21997,21331,20814
387,강남구,삼성1동,15252,14920,13600,13136,12739
388,강남구,삼성2동,30492,30674,30368,30692,31062
389,강남구,대치1동,25590,25302,24922,24199,23846
390,강남구,대치4동,21265,20822,20744,20079,19491
391,강남구,역삼1동,36861,37002,36771,36590,35556
392,강남구,역삼2동,36822,37336,37291,36378,37269
393,강남구,도곡1동,22844,22626,22227,21539,21274
394,강남구,도곡2동,34704,34437,34042,33261,32846
395,강남구,개포1동,7800,6920,6670,6489,6922
396,강남구,개포4동,18920,18405,22765,23870,23639
397,강남구,일원본동,24781,24399,23945,23291,23015
398,강남구,일원1동,17136,16438,15827,15214,14987
399,강남구,일원2동,16593,18160,17709,17585,0
400,강남구,수서동,16421,15934,15299,14870,14402
401,강남구,세곡동,45445,45064,44475,43396,43382
402,강남구,압구정동,28146,27712,27440,26446,25902
403,강남구,청담동,30185,30120,27266,25911,25489
404,강남구,대치2동,40163,38647,37752,36663,37098
405,강남구,개포2동,13855,22049,22297,27945,29032
406,강남구,기타,0,0,0,0,0
408,송파구,풍납1동,16380,15518,14585,13451,12910
409,송파구,풍납2동,25149,25288,25703,24953,24426
410,송파구,거여1동,13339,13221,13077,12614,12255
411,송파구,거여2동,17299,16921,19330,18806,23745
412,송파구,마천1동,21344,20764,19909,19071,18618
413,송파구,마천2동,20684,20242,19719,18866,18150
414,송파구,방이1동,16631,16524,16298,15766,15460
415,송파구,방이2동,25801,26044,26675,27015,26354
416,송파구,오륜동,19244,18864,18495,18079,17804
417,송파구,오금동,41014,41067,39668,38654,38037
418,송파구,송파1동,26401,26026,25190,24176,24008
419,송파구,송파2동,21210,20862,20800,19283,18947
420,송파구,석촌동,34760,34309,33166,32169,31602
421,송파구,삼전동,33440,32613,31839,30695,29912
422,송파구,가락본동,28353,27876,27368,26523,25883
423,송파구,가락1동,1115,27716,27876,27365,27521
424,송파구,가락2동,34455,33920,33204,32406,31670
425,송파구,문정1동,21731,21301,20868,20198,19916
426,송파구,문정2동,30140,29967,29547,29072,28841
427,송파구,잠실본동,29756,29628,29093,28439,28358
428,송파구,잠실4동,30089,22240,21798,21376,21223
429,송파구,잠실6동,17461,17441,17366,16905,16713
430,송파구,잠실7동,10369,10191,9903,9564,9427
431,송파구,잠실2동,37069,36809,36216,35145,34876
432,송파구,잠실3동,36546,36038,35497,34475,34143
433,송파구,장지동,34892,33055,30370,29693,29102
434,송파구,위례동,28835,28296,30366,39206,44613
436,강동구,강일동,32928,32127,35778,32982,33057
437,강동구,상일동,11138,10773,33345,0,0
438,강동구,명일1동,22483,26758,26377,25941,25641
439,강동구,명일2동,18020,17778,17555,17568,17327
440,강동구,고덕1동,27469,27079,26103,24417,23919
441,강동구,고덕2동,7709,19345,22568,22329,22764
442,강동구,암사2동,14711,14774,15507,15252,15069
443,강동구,암사3동,18943,18693,18420,17947,17481
444,강동구,천호1동,29144,28400,27745,26973,26670
445,강동구,천호3동,28568,27996,27085,27000,26679
446,강동구,성내1동,20996,20561,20353,20045,19900
447,강동구,성내2동,25725,25186,24948,24106,23528
448,강동구,성내3동,24155,23921,23692,23346,23071
449,강동구,둔촌1동,317,283,262,144,73
450,강동구,둔촌2동,28260,27752,26413,24785,24277
451,강동구,암사1동,37760,36693,35728,34782,34271
452,강동구,천호2동,36423,35904,35251,33753,33825
453,강동구,길동,47171,46367,46868,45973,45374
454,강동구,상일1동,0,0,0,38929,39178
455,강동구,상일2동,0,0,0,10200,11933
