구,동,평균거주인구
송파구,가락2동,366.83333333333337
송파구,문정1동,358.5
송파구,문정2동,116.33333333333334
송파구,장지동,271.66666666666663
송파구,위례동,101.83333333333334
송파구,잠실본동,257.6666666666667
송파구,잠실2동,130.0
송파구,잠실3동,222.5
송파구,잠실4동,366.1666666666666
송파구,잠실6동,120.83333333333334
송파구,잠실7동,154.83333333333331
강동구,강일동,89.83333333333334
강동구,상일동,56.5
강동구,명일1동,329.5
강동구,명일2동,192.8333333333333
강동구,고덕1동,142.5
강동구,고덕2동,33.5
강동구,암사1동,512.6666666666666
강동구,암사2동,63.5
강동구,암사3동,104.33333333333334
강동구,천호1동,442.1666666666666
강동구,천호2동,194.5
강동구,천호3동,462.33333333333337
강동구,성내1동,320.83333333333337
강동구,성내2동,406.0
강동구,성내3동,371.1666666666666
강동구,길동,312.0
강동구,둔촌1동,43.333333333333336
강동구,둔촌2동,179.83333333333331
종로구,청운효자동,53.66666666666667
종로구,사직동,79.33333333333334
종로구,삼청동,20.0
종로구,부암동,45.83333333333333
종로구,평창동,22.0
종로구,무악동,180.66666666666669
종로구,교남동,298.66666666666663
종로구,가회동,78.83333333333334
종로구,종로1.2.3.4가동,30.0
종로구,종로5.6가동,87.83333333333334
종로구,이화동,107.5
종로구,혜화동,145.83333333333331
종로구,창신1동,184.3333333333333
종로구,창신2동,341.33333333333337
종로구,창신3동,329.16666666666663
종로구,숭인1동,237.66666666666669
종로구,숭인2동,285.5
중구,소공동,13.666666666666668
중구,회현동,51.33333333333333
중구,명동,28.833333333333336
중구,필동,28.0
중구,장충동,46.0
중구,광희동,66.0
중구,을지로동,28.166666666666664
중구,신당동,135.83333333333331
중구,다산동,274.16666666666663
중구,약수동,348.16666666666663
중구,청구동,423.33333333333337
중구,신당5동,289.33333333333337
중구,동화동,343.33333333333337
중구,황학동,378.83333333333337
중구,중림동,179.16666666666669
용산구,후암동,209.5
용산구,용산2가동,51.0
용산구,남영동,106.0
용산구,청파동,233.16666666666669
용산구,원효로1동,244.8333333333333
용산구,원효로2동,162.33333333333331
용산구,효창동,192.8333333333333
용산구,용문동,448.6666666666666
용산구,한강로동,46.83333333333333
용산구,이촌1동,129.5
용산구,이촌2동,75.0
용산구,이태원1동,118.66666666666666
용산구,이태원2동,107.66666666666666
용산구,한남동,64.16666666666666
용산구,서빙고동,60.83333333333333
용산구,보광동,168.33333333333331
성동구,왕십리2동,464.6666666666666
성동구,왕십리도선동,374.6666666666666
성동구,마장동,216.0
성동구,사근동,99.0
성동구,행당1동,308.5
성동구,행당2동,545.5
성동구,응봉동,297.5
성동구,금호1가동,363.1666666666666
성동구,금호2.3가동,379.33333333333337
성동구,금호4가동,160.5
성동구,옥수동,221.5
성동구,성수1가1동,75.0
성동구,성수1가2동,153.16666666666669
성동구,성수2가1동,155.33333333333331
성동구,성수2가3동,106.33333333333334
성동구,송정동,192.0
성동구,용답동,61.16666666666667
광진구,화양동,191.5
광진구,군자동,268.16666666666663
광진구,중곡1동,269.0
광진구,중곡2동,409.0
광진구,중곡3동,290.66666666666663
광진구,중곡4동,134.16666666666669
광진구,능동,105.0
광진구,광장동,121.5
광진구,자양1동,372.5
광진구,자양2동,166.16666666666669
광진구,자양3동,269.0
광진구,자양4동,181.16666666666669
광진구,구의1동,406.0
광진구,구의2동,187.8333333333333
광진구,구의3동,209.16666666666669
동대문구,용신동,190.16666666666669
동대문구,제기동,207.5
동대문구,전농1동,272.16666666666663
동대문구,전농2동,201.5
동대문구,답십리1동,329.16666666666663
동대문구,답십리2동,335.83333333333337
동대문구,장안1동,277.66666666666663
동대문구,장안2동,272.16666666666663
동대문구,청량리동,179.5
동대문구,회기동,122.66666666666666
동대문구,휘경1동,250.16666666666669
동대문구,휘경2동,202.0
동대문구,이문1동,243.3333333333333
동대문구,이문2동,306.0
중랑구,면목2동,350.0
중랑구,면목4동,247.66666666666669
중랑구,면목5동,167.33333333333331
중랑구,면목본동,423.33333333333337
중랑구,면목7동,182.16666666666669
중랑구,면목3.8동,163.33333333333331
중랑구,상봉1동,286.33333333333337
중랑구,상봉2동,284.83333333333337
중랑구,중화1동,333.33333333333337
중랑구,중화2동,290.0
중랑구,묵1동,307.16666666666663
중랑구,묵2동,290.5
중랑구,망우본동,100.83333333333334
중랑구,망우3동,186.16666666666669
중랑구,신내1동,171.16666666666669
중랑구,신내2동,237.16666666666669
성북구,성북동,42.83333333333333
성북구,삼선동,307.16666666666663
성북구,동선동,216.5
성북구,돈암1동,342.33333333333337
성북구,돈암2동,454.5
성북구,안암동,104.83333333333334
성북구,보문동,299.5
성북구,정릉1동,431.6666666666666
성북구,정릉2동,210.3333333333333
성북구,정릉3동,49.0
성북구,정릉4동,71.83333333333334
성북구,길음1동,463.6666666666666
성북구,길음2동,198.16666666666669
성북구,종암동,272.5
성북구,월곡1동,323.5
성북구,월곡2동,151.66666666666669
성북구,장위1동,290.83333333333337
성북구,장위2동,219.3333333333333
성북구,장위3동,175.16666666666669
성북구,석관동,184.8333333333333
강북구,삼양동,277.83333333333337
강북구,미아동,272.16666666666663
강북구,송중동,269.66666666666663
강북구,송천동,313.0
강북구,삼각산동,547.1666666666667
강북구,번1동,315.16666666666663
강북구,번2동,176.0
강북구,번3동,175.0
강북구,수유1동,126.5
강북구,수유2동,376.1666666666666
강북구,수유3동,328.83333333333337
강북구,우이동,20.0
강북구,인수동,113.0
도봉구,창1동,240.3333333333333
도봉구,창2동,471.33333333333337
도봉구,창3동,236.0
도봉구,창4동,245.16666666666669
도봉구,창5동,382.5
도봉구,도봉1동,26.833333333333336
도봉구,도봉2동,237.0
도봉구,쌍문1동,185.5
도봉구,쌍문2동,376.5
도봉구,쌍문3동,339.66666666666663
도봉구,쌍문4동,363.1666666666666
도봉구,방학1동,290.0
도봉구,방학2동,194.16666666666669
도봉구,방학3동,156.66666666666669
노원구,월계1동,211.16666666666669
노원구,월계2동,137.5
노원구,월계3동,258.33333333333337
노원구,공릉1동,316.0
노원구,공릉2동,56.83333333333333
노원구,하계1동,191.0
노원구,하계2동,463.1666666666666
노원구,중계본동,128.16666666666666
노원구,중계1동,452.5
노원구,중계4동,138.0
노원구,중계2.3동,412.1666666666666
노원구,상계1동,81.66666666666666
노원구,상계2동,339.16666666666663
노원구,상계3.4동,54.5
노원구,상계5동,469.83333333333337
노원구,상계6.7동,243.5
노원구,상계8동,365.5
노원구,상계9동,267.16666666666663
노원구,상계10동,210.16666666666669
은평구,녹번동,176.16666666666669
은평구,불광1동,101.83333333333334
은평구,불광2동,231.66666666666669
은평구,갈현1동,269.16666666666663
은평구,갈현2동,294.66666666666663
은평구,구산동,255.0
은평구,대조동,363.1666666666666
은평구,응암1동,228.3333333333333
은평구,응암2동,230.5
은평구,응암3동,360.83333333333337
은평구,역촌동,429.6666666666666
은평구,신사1동,346.33333333333337
은평구,신사2동,207.0
은평구,증산동,181.66666666666669
은평구,수색동,89.33333333333334
은평구,진관동,46.66666666666667
서대문구,천연동,213.16666666666669
서대문구,북아현동,373.83333333333337
서대문구,충현동,158.66666666666669
서대문구,신촌동,74.16666666666666
서대문구,연희동,125.5
서대문구,홍제1동,154.33333333333331
서대문구,홍제3동,149.83333333333331
서대문구,홍제2동,206.66666666666669
서대문구,홍은1동,144.0
서대문구,홍은2동,146.5
서대문구,남가좌1동,359.16666666666663
서대문구,남가좌2동,287.5
서대문구,북가좌1동,311.0
서대문구,북가좌2동,431.6666666666666
마포구,아현동,311.83333333333337
마포구,공덕동,418.0
마포구,도화동,250.3333333333333
마포구,용강동,215.3333333333333
마포구,대흥동,132.0
마포구,염리동,241.0
마포구,신수동,221.0
마포구,서강동,127.16666666666666
마포구,서교동,135.0
마포구,합정동,102.33333333333334
마포구,망원1동,185.5
마포구,망원2동,154.16666666666669
마포구,연남동,245.16666666666669
마포구,성산1동,223.5
마포구,성산2동,201.3333333333333
마포구,상암동,41.83333333333333
양천구,목1동,188.8333333333333
양천구,목2동,305.0
양천구,목3동,429.83333333333337
양천구,목4동,466.33333333333337
양천구,목5동,210.66666666666669
양천구,신월1동,349.0
양천구,신월2동,366.1666666666666
양천구,신월3동,172.0
양천구,신월4동,408.0
양천구,신월5동,312.5
양천구,신월6동,154.33333333333331
양천구,신월7동,180.16666666666669
양천구,신정1동,295.83333333333337
양천구,신정2동,350.83333333333337
양천구,신정3동,169.83333333333331
양천구,신정4동,354.0
양천구,신정6동,257.5
양천구,신정7동,263.83333333333337
강서구,염창동,207.3333333333333
강서구,등촌1동,349.16666666666663
강서구,등촌2동,241.5
강서구,등촌3동,314.0
강서구,화곡1동,446.1666666666666
강서구,화곡2동,429.5
강서구,화곡3동,436.0
강서구,화곡4동,260.66666666666663
강서구,화곡본동,356.0
강서구,화곡6동,237.16666666666669
강서구,화곡8동,464.0
강서구,가양1동,66.16666666666666
강서구,가양2동,157.66666666666669
강서구,가양3동,236.3333333333333
강서구,발산1동,126.83333333333334
강서구,우장산동,360.33333333333337
강서구,공항동,27.833333333333336
강서구,방화1동,321.0
강서구,방화2동,43.0
강서구,방화3동,125.66666666666666
구로구,신도림동,269.33333333333337
구로구,구로1동,214.3333333333333
구로구,구로2동,143.5
구로구,구로3동,240.0
구로구,구로4동,399.1666666666666
구로구,구로5동,283.0
구로구,가리봉동,233.3333333333333
구로구,고척1동,216.3333333333333
구로구,고척2동,285.0
구로구,개봉1동,283.0
구로구,개봉2동,389.83333333333337
구로구,개봉3동,270.66666666666663
구로구,오류1동,314.0
구로구,오류2동,102.33333333333334
구로구,수궁동,92.66666666666666
금천구,가산동,90.5
금천구,독산1동,193.5
금천구,독산2동,336.0
금천구,독산3동,262.0
금천구,독산4동,271.66666666666663
금천구,시흥1동,237.3333333333333
금천구,시흥2동,196.3333333333333
금천구,시흥3동,85.0
금천구,시흥4동,268.0
금천구,시흥5동,137.5
영등포구,영등포본동,262.5
영등포구,영등포동,181.3333333333333
영등포구,여의동,49.33333333333333
영등포구,당산1동,279.0
영등포구,당산2동,229.5
영등포구,도림동,345.16666666666663
영등포구,문래동,182.8333333333333
영등포구,양평1동,201.3333333333333
영등포구,양평2동,87.66666666666666
영등포구,신길1동,228.66666666666669
영등포구,신길3동,305.0
영등포구,신길4동,311.5
영등포구,신길5동,202.5
영등포구,신길6동,276.33333333333337
영등포구,신길7동,262.5
영등포구,대림1동,269.33333333333337
영등포구,대림2동,220.0
영등포구,대림3동,255.0
동작구,노량진1동,171.83333333333331
동작구,노량진2동,233.5
동작구,상도1동,311.16666666666663
동작구,상도2동,336.83333333333337
동작구,상도3동,388.6666666666666
동작구,상도4동,312.66666666666663
동작구,흑석동,144.83333333333331
동작구,사당1동,365.0
동작구,사당2동,91.83333333333334
동작구,사당3동,273.83333333333337
동작구,사당4동,340.0
동작구,사당5동,193.66666666666669
동작구,대방동,250.8333333333333
동작구,신대방1동,354.0
동작구,신대방2동,209.5
관악구,보라매동,321.5
관악구,청림동,566.1666666666667
관악구,성현동,485.5
관악구,행운동,403.5
관악구,낙성대동,68.83333333333334
관악구,청룡동,240.5
관악구,은천동,475.0
관악구,중앙동,396.5
관악구,인헌동,379.0
관악구,남현동,45.0
관악구,서원동,356.0
관악구,신원동,340.5
관악구,서림동,249.0
관악구,신사동,378.1666666666666
관악구,신림동,421.0
관악구,난향동,210.3333333333333
관악구,조원동,269.33333333333337
관악구,대학동,29.166666666666664
관악구,삼성동,105.33333333333334
관악구,미성동,235.8333333333333
관악구,난곡동,292.66666666666663
서초구,서초1동,154.0
서초구,서초2동,145.83333333333331
서초구,서초3동,103.33333333333334
서초구,서초4동,354.5
서초구,잠원동,184.66666666666669
서초구,반포본동,83.5
서초구,반포1동,297.5
서초구,반포2동,141.5
서초구,반포3동,145.66666666666669
서초구,반포4동,138.0
서초구,방배본동,324.66666666666663
서초구,방배1동,251.8333333333333
서초구,방배2동,122.33333333333334
서초구,방배3동,91.16666666666666
서초구,방배4동,253.16666666666669
서초구,양재1동,80.83333333333334
서초구,양재2동,31.666666666666664
서초구,내곡동,14.0
강남구,신사동,100.83333333333334
강남구,논현1동,187.3333333333333
강남구,논현2동,149.83333333333331
강남구,압구정동,110.66666666666666
강남구,청담동,125.83333333333334
강남구,삼성1동,77.66666666666666
강남구,삼성2동,242.0
강남구,대치1동,320.5
강남구,대치2동,196.3333333333333
강남구,대치4동,292.83333333333337
강남구,역삼1동,152.16666666666669
강남구,역삼2동,322.83333333333337
강남구,도곡1동,213.0
강남구,도곡2동,330.83333333333337
강남구,개포1동,87.66666666666666
강남구,개포2동,63.5
강남구,개포4동,119.5
강남구,세곡동,76.0
강남구,일원본동,104.5
강남구,일원1동,179.5
강남구,일원2동,152.16666666666669
강남구,수서동,98.66666666666666
송파구,풍납1동,145.66666666666669
송파구,풍납2동,122.83333333333334
송파구,거여1동,243.5
송파구,거여2동,330.83333333333337
송파구,마천1동,367.33333333333337
송파구,마천2동,244.3333333333333
송파구,방이1동,282.83333333333337
송파구,방이2동,329.0
송파구,오륜동,60.83333333333333
송파구,오금동,241.0
송파구,송파1동,380.6666666666666
송파구,송파2동,330.0
송파구,석촌동,360.0
송파구,삼전동,331.0
송파구,가락본동,274.83333333333337
송파구,가락1동,38.66666666666666
송파구,가락2동,361.83333333333337
송파구,문정1동,357.5
송파구,문정2동,124.5
송파구,장지동,263.83333333333337
송파구,위례동,109.83333333333334
송파구,잠실본동,254.16666666666669
송파구,잠실2동,127.83333333333334
송파구,잠실3동,240.5
송파구,잠실4동,342.5
송파구,잠실6동,118.0
송파구,잠실7동,151.83333333333331
강동구,강일동,87.66666666666666
강동구,상일동,61.5
강동구,명일1동,351.33333333333337
강동구,명일2동,196.16666666666669
강동구,고덕1동,141.83333333333331
강동구,고덕2동,31.5
강동구,암사1동,503.6666666666666
강동구,암사2동,62.66666666666667
강동구,암사3동,101.83333333333334
강동구,천호1동,430.6666666666666
강동구,천호2동,191.8333333333333
강동구,천호3동,489.1666666666666
강동구,성내1동,316.0
강동구,성내2동,398.5
강동구,성내3동,370.5
강동구,길동,296.5
강동구,둔촌1동,3.0
강동구,둔촌2동,177.33333333333331
종로구,청운효자동,51.83333333333333
종로구,사직동,81.16666666666666
종로구,삼청동,19.833333333333336
종로구,부암동,45.0
종로구,평창동,22.0
종로구,무악동,180.66666666666669
종로구,교남동,296.5
종로구,가회동,77.83333333333334
종로구,종로1.2.3.4가동,30.0
종로구,종로5.6가동,87.0
종로구,이화동,104.33333333333334
종로구,혜화동,145.0
종로구,창신1동,175.5
종로구,창신2동,331.5
종로구,창신3동,328.33333333333337
종로구,숭인1동,260.33333333333337
종로구,숭인2동,264.16666666666663
중구,소공동,22.166666666666664
중구,회현동,57.66666666666667
중구,명동,28.0
중구,필동,28.0
중구,장충동,45.83333333333333
중구,광희동,66.66666666666666
중구,을지로동,29.5
중구,신당동,140.5
중구,다산동,269.33333333333337
중구,약수동,342.66666666666663
중구,청구동,413.6666666666666
중구,신당5동,292.83333333333337
중구,동화동,339.0
중구,황학동,383.1666666666666
중구,중림동,258.83333333333337
용산구,후암동,206.5
용산구,용산2가동,50.5
용산구,남영동,105.66666666666666
용산구,청파동,228.8333333333333
용산구,원효로1동,269.66666666666663
용산구,원효로2동,158.33333333333331
용산구,효창동,191.5
용산구,용문동,436.1666666666666
용산구,한강로동,52.33333333333333
용산구,이촌1동,131.83333333333331
용산구,이촌2동,74.66666666666666
용산구,이태원1동,117.0
