,연도,구별,동별,인구밀도
641,2019,은평구,갈현1동,25295
642,2019,은평구,갈현2동,31406
643,2019,은평구,구산동,24496
644,2019,은평구,대조동,32835
645,2019,은평구,응암1동,21378
646,2019,은평구,응암2동,32649
647,2019,은평구,신사1동,34012
648,2019,은평구,신사2동,21875
649,2019,은평구,증산동,19965
650,2019,은평구,수색동,6940
651,2019,은평구,진관동,5031
652,2019,은평구,불광2동,21414
653,2019,은평구,응암3동,41398
654,2019,은평구,역촌동,41802
656,2019,서대문구,천연동,19282
657,2019,서대문구,홍제1동,20323
658,2019,서대문구,홍제3동,20272
659,2019,서대문구,홍제2동,13876
660,2019,서대문구,홍은1동,14495
661,2019,서대문구,홍은2동,13783
662,2019,서대문구,남가좌1동,33173
663,2019,서대문구,남가좌2동,33697
664,2019,서대문구,북가좌1동,34836
665,2019,서대문구,북가좌2동,40250
666,2019,서대문구,충현동,16172
667,2019,서대문구,북아현동,38098
668,2019,서대문구,신촌동,9267
669,2019,서대문구,연희동,13554
671,2019,마포구,용강동,26715
672,2019,마포구,대흥동,15426
673,2019,마포구,염리동,31363
674,2019,마포구,신수동,30612
675,2019,마포구,서교동,15756
676,2019,마포구,합정동,11135
677,2019,마포구,망원1동,19342
678,2019,마포구,망원2동,28934
679,2019,마포구,연남동,26489
680,2019,마포구,성산1동,25205
681,2019,마포구,성산2동,20063
682,2019,마포구,상암동,3915
683,2019,마포구,도화동,36442
684,2019,마포구,서강동,18043
685,2019,마포구,공덕동,40108
686,2019,마포구,아현동,33366
688,2019,양천구,목1동,22818
689,2019,양천구,목2동,30560
690,2019,양천구,목3동,43575
691,2019,양천구,목4동,47209
692,2019,양천구,신월1동,33497
693,2019,양천구,신월2동,36272
694,2019,양천구,신월3동,19217
695,2019,양천구,신월4동,36588
696,2019,양천구,신월5동,22565
697,2019,양천구,신월6동,16134
698,2019,양천구,신월7동,18153
699,2019,양천구,신정1동,30896
700,2019,양천구,신정2동,39779
701,2019,양천구,신정3동,17703
702,2019,양천구,신정6동,26358
703,2019,양천구,신정7동,25540
704,2019,양천구,목5동,23728
705,2019,양천구,신정4동,35229
707,2019,강서구,염창동,24471
708,2019,강서구,등촌1동,40198
709,2019,강서구,등촌2동,23770
710,2019,강서구,등촌3동,41147
711,2019,강서구,화곡본동,32359
712,2019,강서구,화곡2동,41462
713,2019,강서구,화곡3동,44529
