구별,동별,연도,면적
동작구,상도2동,2020,0.98
동작구,상도2동,2021,0.98
동작구,상도2동,2022,0.98
동작구,상도3동,2018,0.6
동작구,상도3동,2019,0.6
동작구,상도3동,2020,0.6
동작구,상도3동,2021,0.6
동작구,상도3동,2022,0.6
동작구,상도4동,2018,0.75
동작구,상도4동,2019,0.75
동작구,상도4동,2020,0.75
동작구,상도4동,2021,0.75
동작구,상도4동,2022,0.75
동작구,신대방1동,2018,0.62
동작구,신대방1동,2019,0.62
동작구,신대방1동,2020,0.62
동작구,신대방1동,2021,0.62
동작구,신대방1동,2022,0.62
동작구,신대방2동,2018,1.03
동작구,신대방2동,2019,1.03
동작구,신대방2동,2020,1.03
동작구,신대방2동,2021,1.03
동작구,신대방2동,2022,1.03
동작구,흑석동,2018,1.68
동작구,흑석동,2019,1.68
동작구,흑석동,2020,1.68
동작구,흑석동,2021,1.68
동작구,흑석동,2022,1.68
마포구,공덕동,2018,1.01
마포구,공덕동,2019,1.01
마포구,공덕동,2020,1.01
마포구,공덕동,2021,1.01
마포구,공덕동,2022,1.01
마포구,대흥동,2018,0.88
마포구,대흥동,2019,0.88
마포구,대흥동,2020,0.87
마포구,대흥동,2021,0.87
마포구,대흥동,2022,0.87
마포구,도화동,2018,0.62
마포구,도화동,2019,0.62
마포구,도화동,2020,0.62
마포구,도화동,2021,0.62
마포구,도화동,2022,0.62
마포구,망원1동,2018,1.13
마포구,망원1동,2019,1.13
마포구,망원1동,2020,1.13
마포구,망원1동,2021,1.13
마포구,망원1동,2022,1.13
마포구,망원2동,2018,0.67
마포구,망원2동,2019,0.67
마포구,망원2동,2020,0.67
마포구,망원2동,2021,0.67
마포구,망원2동,2022,0.67
마포구,상암동,2018,8.4
마포구,상암동,2019,8.4
마포구,상암동,2020,8.4
마포구,상암동,2021,8.4
마포구,상암동,2022,8.4
마포구,서강동,2018,1.45
마포구,서강동,2019,1.45
마포구,서강동,2020,1.45
마포구,서강동,2021,1.45
마포구,서강동,2022,1.45
마포구,서교동,2018,1.65
마포구,서교동,2019,1.65
마포구,서교동,2020,1.65
마포구,서교동,2021,1.65
마포구,서교동,2022,1.65
마포구,성산1동,2018,0.8
마포구,성산1동,2019,0.8
마포구,성산1동,2020,0.8
마포구,성산1동,2021,0.8
마포구,성산1동,2022,0.8
마포구,성산2동,2018,2.07
마포구,성산2동,2019,2.07
마포구,성산2동,2020,2.07
마포구,성산2동,2021,2.07
마포구,성산2동,2022,2.07
마포구,신수동,2018,0.78
마포구,신수동,2019,0.78
마포구,신수동,2020,0.78
마포구,신수동,2021,0.78
마포구,신수동,2022,0.78
마포구,아현동,2018,0.76
마포구,아현동,2019,0.76
마포구,아현동,2020,0.76
마포구,아현동,2021,0.76
마포구,아현동,2022,0.76
마포구,연남동,2018,0.64
마포구,연남동,2019,0.64
마포구,연남동,2020,0.64
마포구,연남동,2021,0.64
마포구,연남동,2022,0.64
마포구,염리동,2018,0.43
마포구,염리동,2019,0.43
마포구,염리동,2020,0.44
마포구,염리동,2021,0.44
마포구,염리동,2022,0.44
마포구,용강동,2018,0.84
마포구,용강동,2019,0.84
마포구,용강동,2020,0.84
마포구,용강동,2021,0.84
마포구,용강동,2022,0.84
마포구,합정동,2018,1.72
마포구,합정동,2019,1.72
마포구,합정동,2020,1.72
마포구,합정동,2021,1.72
마포구,합정동,2022,1.72
상일동,상일동,상일동,상일동상일동상일동상일동상일동상일동상일동
서대문구,남가좌1동,2018,0.51
서대문구,남가좌1동,2019,0.51
서대문구,남가좌1동,2020,0.51
서대문구,남가좌1동,2021,0.51
서대문구,남가좌1동,2022,0.51
서대문구,남가좌2동,2018,0.77
서대문구,남가좌2동,2019,0.77
서대문구,남가좌2동,2020,0.77
서대문구,남가좌2동,2021,0.77
서대문구,남가좌2동,2022,0.77
서대문구,북가좌1동,2018,0.52
서대문구,북가좌1동,2019,0.55
서대문구,북가좌1동,2020,0.55
서대문구,북가좌1동,2021,0.55
서대문구,북가좌1동,2022,0.55
서대문구,북가좌2동,2018,0.84
서대문구,북가좌2동,2019,0.84
서대문구,북가좌2동,2020,0.84
서대문구,북가좌2동,2021,0.84
서대문구,북가좌2동,2022,0.84
서대문구,북아현동,2018,0.46
서대문구,북아현동,2019,0.46
서대문구,북아현동,2020,0.46
서대문구,북아현동,2021,0.46
서대문구,북아현동,2022,0.46
서대문구,신촌동,2018,2.63
서대문구,신촌동,2019,2.63
서대문구,신촌동,2020,2.63
서대문구,신촌동,2021,2.63
서대문구,신촌동,2022,2.63
서대문구,연희동,2018,3.05
서대문구,연희동,2019,3.05
서대문구,연희동,2020,3.05
서대문구,연희동,2021,3.05
서대문구,연희동,2022,3.05
서대문구,천연동,2018,0.97
서대문구,천연동,2019,0.97
서대문구,천연동,2020,0.97
서대문구,천연동,2021,0.97
서대문구,천연동,2022,0.97
서대문구,충현동,2018,1.12
서대문구,충현동,2019,1.12
서대문구,충현동,2020,1.12
서대문구,충현동,2021,1.12
서대문구,충현동,2022,1.12
서대문구,홍은1동,2018,1.58
서대문구,홍은1동,2019,1.58
서대문구,홍은1동,2020,1.58
서대문구,홍은1동,2021,1.58
서대문구,홍은1동,2022,1.58
서대문구,홍은2동,2018,2.06
서대문구,홍은2동,2019,2.06
서대문구,홍은2동,2020,2.06
서대문구,홍은2동,2021,2.06
서대문구,홍은2동,2022,2.06
서대문구,홍제1동,2018,1.23
서대문구,홍제1동,2019,1.23
서대문구,홍제1동,2020,1.23
서대문구,홍제1동,2021,1.23
서대문구,홍제1동,2022,1.23
서대문구,홍제2동,2018,1.05
서대문구,홍제2동,2019,1.05
서대문구,홍제2동,2020,0.81
서대문구,홍제2동,2021,1.05
서대문구,홍제2동,2022,1.05
서대문구,홍제3동,2018,0.81
서대문구,홍제3동,2019,0.81
서대문구,홍제3동,2020,1.05
서대문구,홍제3동,2021,0.81
서대문구,홍제3동,2022,0.81
서초구,내곡동,2018,12.68
서초구,내곡동,2019,12.68
서초구,내곡동,2020,12.68
서초구,내곡동,2021,12.68
서초구,내곡동,2022,12.68
서초구,반포1동,2018,1.0
서초구,반포1동,2019,1.0
서초구,반포1동,2020,1.0
서초구,반포1동,2021,1.0
서초구,반포1동,2022,1.0
서초구,반포2동,2018,1.35
서초구,반포2동,2019,1.35
서초구,반포2동,2020,1.35
서초구,반포2동,2021,1.35
서초구,반포2동,2022,1.35
서초구,반포3동,2018,1.28
서초구,반포3동,2019,1.28
서초구,반포3동,2020,1.28
서초구,반포3동,2021,1.28
서초구,반포3동,2022,1.28
서초구,반포4동,2018,1.43
서초구,반포4동,2019,1.43
서초구,반포4동,2020,1.43
서초구,반포4동,2021,1.43
서초구,반포4동,2022,1.43
서초구,반포본동,2018,1.01
서초구,반포본동,2019,1.01
서초구,반포본동,2020,1.01
서초구,반포본동,2021,1.01
서초구,반포본동,2022,1.01
서초구,방배1동,2018,0.7
서초구,방배1동,2019,0.7
서초구,방배1동,2020,0.7
서초구,방배1동,2021,0.7
서초구,방배1동,2022,0.7
