,Unnamed: 0,구별,동별,연도,주민인구
1999,1999,송파구,가락1동,2022,27521
2004,2004,송파구,가락2동,2022,31670
2009,2009,송파구,문정1동,2022,19916
2014,2014,송파구,문정2동,2022,28841
2019,2019,송파구,잠실본동,2022,28358
2024,2024,송파구,잠실4동,2022,21223
2029,2029,송파구,잠실6동,2022,16713
2034,2034,송파구,잠실7동,2022,9427
2039,2039,송파구,잠실2동,2022,34876
2044,2044,송파구,잠실3동,2022,34143
2049,2049,송파구,장지동,2022,29102
2054,2054,송파구,위례동,2022,44613
2059,2059,강동구,강일동,2022,33057
2064,2064,강동구,상일동,2022,0
2069,2069,강동구,명일1동,2022,25641
2074,2074,강동구,명일2동,2022,17327
2079,2079,강동구,고덕1동,2022,23919
2084,2084,강동구,고덕2동,2022,22764
2089,2089,강동구,암사2동,2022,15069
2094,2094,강동구,암사3동,2022,17481
2099,2099,강동구,천호1동,2022,26670
2104,2104,강동구,천호3동,2022,26679
2109,2109,강동구,성내1동,2022,19900
2114,2114,강동구,성내2동,2022,23528
2119,2119,강동구,성내3동,2022,23071
2124,2124,강동구,둔촌1동,2022,73
2129,2129,강동구,둔촌2동,2022,24277
2134,2134,강동구,암사1동,2022,34271
2139,2139,강동구,천호2동,2022,33825
2144,2144,강동구,길동,2022,45374
