"시점","동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"2018","합계",서초구,방배4동,24442,0.98,24941
"2018","합계",서초구,양재1동,46713,5.76,8110
"2018","합계",서초구,양재2동,24032,7.58,3170
"2018","합계",서초구,내곡동,18688,12.68,1474
"2018","합계",강남구,소계,547453,39.50,13859
"2018","합계",강남구,신사동,17813,1.89,9425
"2018","합계",강남구,논현1동,24061,1.25,19249
"2018","합계",강남구,논현2동,22304,1.47,15173
"2018","합계",강남구,삼성1동,15252,1.94,7862
"2018","합계",강남구,삼성2동,30492,1.24,24590
"2018","합계",강남구,대치1동,25590,0.79,32392
"2018","합계",강남구,대치4동,21265,0.73,29130
"2018","합계",강남구,역삼1동,36861,2.35,15686
"2018","합계",강남구,역삼2동,36822,1.15,32019
"2018","합계",강남구,도곡1동,22844,1.02,22396
"2018","합계",강남구,도곡2동,34704,1.02,34024
"2018","합계",강남구,개포1동,7800,1.27,6142
"2018","합계",강남구,개포4동,18920,1.49,12698
"2018","합계",강남구,일원본동,24781,2.58,9605
"2018","합계",강남구,일원1동,17136,0.92,18626
"2018","합계",강남구,일원2동,16593,1.24,13381
"2018","합계",강남구,수서동,16421,1.43,11483
"2018","합계",강남구,세곡동,45445,6.36,7145
"2018","합계",강남구,압구정동,28146,2.53,11125
"2018","합계",강남구,청담동,30185,2.33,12955
"2018","합계",강남구,대치2동,40163,2.00,20082
"2018","합계",강남구,개포2동,13855,2.51,5520
"2018","합계",송파구,소계,673507,33.87,19883
"2018","합계",송파구,풍납1동,16380,0.77,21273
"2018","합계",송파구,풍납2동,25149,1.59,15817
"2018","합계",송파구,거여1동,13339,0.51,26155
"2018","합계",송파구,거여2동,17299,0.53,32640
"2018","합계",송파구,마천1동,21344,0.58,36800
"2018","합계",송파구,마천2동,20684,0.89,23240
"2018","합계",송파구,방이1동,16631,0.50,33262
"2018","합계",송파구,방이2동,25801,0.80,32251
"2018","합계",송파구,오륜동,19244,3.17,6071
"2018","합계",송파구,오금동,41014,1.65,24857
"2018","합계",송파구,송파1동,26401,0.79,33419
"2018","합계",송파구,송파2동,21210,0.53,40019
"2018","합계",송파구,석촌동,34760,0.95,36589
"2018","합계",송파구,삼전동,33440,0.95,35200
"2018","합계",송파구,가락본동,28353,1.13,25091
"2018","합계",송파구,가락1동,1115,1.34,832
"2018","합계",송파구,가락2동,34455,0.96,35891
"2018","합계",송파구,문정1동,21731,0.56,38805
"2018","합계",송파구,문정2동,30140,2.20,13700
"2018","합계",송파구,잠실본동,29756,0.94,31655
"2018","합계",송파구,잠실4동,30089,1.56,19288
"2018","합계",송파구,잠실6동,17461,2.79,6258
"2018","합계",송파구,잠실7동,10369,0.60,17282
"2018","합계",송파구,잠실2동,37069,2.18,17004
"2018","합계",송파구,잠실3동,36546,1.49,24528
"2018","합계",송파구,장지동,34892,1.37,25469
"2018","합계",송파구,위례동,28835,2.55,11308
"2018","합계",강동구,소계,431920,24.59,17564
"2018","합계",강동구,강일동,32928,2.80,11760
"2018","합계",강동구,상일동,11138,2.65,4203
"2018","합계",강동구,명일1동,22483,0.61,36857
"2018","합계",강동구,명일2동,18020,0.97,18577
"2018","합계",강동구,고덕1동,27469,1.73,15878
"2018","합계",강동구,고덕2동,7709,2.01,3835
"2018","합계",강동구,암사2동,14711,1.18,12467
"2018","합계",강동구,암사3동,18943,2.51,7547
"2018","합계",강동구,천호1동,29144,0.71,41048
"2018","합계",강동구,천호3동,28568,0.79,36162
"2018","합계",강동구,성내1동,20996,0.58,36200
"2018","합계",강동구,성내2동,25725,0.67,38396
"2018","합계",강동구,성내3동,24155,0.71,34021
"2018","합계",강동구,둔촌1동,317,0.92,345
"2018","합계",강동구,둔촌2동,28260,0.98,28837
"2018","합계",강동구,암사1동,37760,1.02,37020
"2018","합계",강동구,천호2동,36423,1.57,23199
"2018","합계",강동구,길동,47171,2.17,21738
"2019","합계",소계,소계,10010983,605.24,16541
"2019","합계",종로구,소계,161869,23.91,6769
"2019","합계",종로구,사직동,9815,1.23,7980
"2019","합계",종로구,삼청동,2997,1.49,2011
"2019","합계",종로구,부암동,10551,2.27,4648
"2019","합계",종로구,평창동,18816,8.87,2121
"2019","합계",종로구,무악동,8740,0.36,24278
"2019","합계",종로구,교남동,10708,0.35,30594
"2019","합계",종로구,가회동,4488,0.54,8311
"2019","합계",종로구,종로1.2.3.4가동,8446,2.35,3594
"2019","합계",종로구,종로5.6가동,5839,0.60,9732
"2019","합계",종로구,이화동,8470,0.78,10859
"2019","합계",종로구,창신1동,6079,0.31,19610
"2019","합계",종로구,창신2동,9799,0.26,37688
"2019","합계",종로구,창신3동,7271,0.23,31613
"2019","합계",종로구,숭인1동,6532,0.23,28400
