,구별,동별,승객수
347,용산구,용문동,1012708.0
348,용산구,용산2가동,5492055.0
349,용산구,원효로1동,2757893.0
350,용산구,원효로2동,1841731.0
351,용산구,이촌1동,1965219.0
352,용산구,이촌2동,991004.0
353,용산구,이태원1동,6234938.0
354,용산구,이태원2동,1472906.0
355,용산구,청파동,2483973.0
356,용산구,한강로동,29132779.0
357,용산구,한남동,12372158.0
358,용산구,효창동,4184013.0
359,용산구,후암동,1912898.0
360,은평구,갈현1동,14619545.0
361,은평구,갈현2동,5644214.0
362,은평구,구산동,3263556.0
363,은평구,녹번동,10514890.0
364,은평구,대조동,10796448.0
365,은평구,불광1동,6682643.0
366,은평구,불광2동,3773514.0
367,은평구,수색동,2689953.0
368,은평구,신사1동,8758704.0
369,은평구,신사2동,6152165.0
370,은평구,역촌동,4700619.0
371,은평구,응암1동,5777412.0
372,은평구,응암2동,2112509.0
373,은평구,응암3동,3806196.0
374,은평구,증산동,6089684.0
375,은평구,진관동,14393040.0
376,종로구,가회동,708215.0
377,종로구,교남동,3385038.0
378,종로구,무악동,712841.0
379,종로구,부암동,3314522.0
380,종로구,사직동,26307086.0
381,종로구,삼청동,1540812.0
382,종로구,숭인1동,2199667.0
383,종로구,숭인2동,7672238.0
384,종로구,이화동,16140595.0
385,종로구,종로1.2.3.4가동,55700851.0
386,종로구,종로5.6가동,21487964.0
387,종로구,창신1동,3450511.0
388,종로구,창신2동,46393.0
389,종로구,창신3동,1559807.0
390,종로구,청운효자동,2583194.0
391,종로구,평창동,2960278.0
392,종로구,혜화동,5521557.0
393,중구,광희동,14336227.0
394,중구,다산동,1230177.0
395,중구,동화동,2841301.0
396,중구,명동,27336721.0
397,중구,소공동,24539362.0
398,중구,신당5동,1999118.0
399,중구,신당동,8642004.0
400,중구,약수동,7264910.0
401,중구,을지로동,17584576.0
402,중구,장충동,4340602.0
403,중구,중림동,1571659.0
404,중구,청구동,838782.0
405,중구,필동,9577856.0
406,중구,황학동,1249435.0
407,중구,회현동,41263512.0
408,중랑구,망우3동,1518234.0
409,중랑구,망우본동,6526857.0
410,중랑구,면목2동,2123745.0
411,중랑구,면목3.8동,8758952.0
412,중랑구,면목4동,3650235.0
413,중랑구,면목5동,1500183.0
414,중랑구,면목7동,1927158.0
415,중랑구,면목본동,9547726.0
416,중랑구,묵1동,2471834.0
417,중랑구,묵2동,4424013.0
418,중랑구,상봉1동,2098867.0
419,중랑구,상봉2동,12360724.0
420,중랑구,신내1동,7772786.0
421,중랑구,신내2동,3415106.0
422,중랑구,중화1동,1230639.0
423,중랑구,중화2동,7993112.0
