,구,동,평균거주인구
320,관악구,성현동,481.66666666666663
321,관악구,행운동,403.66666666666663
322,관악구,낙성대동,69.83333333333334
323,관악구,청룡동,234.83333333333331
324,관악구,은천동,477.33333333333337
325,관악구,중앙동,393.33333333333337
326,관악구,인헌동,384.66666666666663
327,관악구,남현동,45.0
328,관악구,서원동,358.33333333333337
329,관악구,신원동,341.0
330,관악구,서림동,250.83333333333331
331,관악구,신사동,379.16666666666663
332,관악구,신림동,405.0
333,관악구,난향동,212.5
334,관악구,조원동,269.16666666666663
335,관악구,대학동,29.0
336,관악구,삼성동,103.16666666666666
337,관악구,미성동,238.0
338,관악구,난곡동,299.66666666666663
339,서초구,서초1동,153.33333333333331
340,서초구,서초2동,138.5
341,서초구,서초3동,99.16666666666666
342,서초구,서초4동,336.5
343,서초구,잠원동,187.16666666666669
344,서초구,반포본동,84.5
345,서초구,반포1동,285.5
346,서초구,반포2동,183.5
347,서초구,반포3동,143.5
348,서초구,반포4동,138.66666666666669
349,서초구,방배본동,324.83333333333337
350,서초구,방배1동,247.16666666666669
351,서초구,방배2동,138.0
352,서초구,방배3동,94.0
353,서초구,방배4동,267.5
354,서초구,양재1동,82.83333333333334
355,서초구,양재2동,31.166666666666664
356,서초구,내곡동,14.0
357,강남구,신사동,102.33333333333334
358,강남구,논현1동,187.33333333333331
359,강남구,논현2동,151.0
360,강남구,압구정동,111.5
361,강남구,청담동,124.5
362,강남구,삼성1동,76.83333333333334
363,강남구,삼성2동,238.83333333333331
364,강남구,대치1동,314.5
365,강남구,대치2동,202.16666666666669
366,강남구,대치4동,290.66666666666663
367,강남구,역삼1동,148.83333333333331
368,강남구,역삼2동,322.66666666666663
369,강남구,도곡1동,221.16666666666669
370,강남구,도곡2동,321.66666666666663
371,강남구,개포1동,157.16666666666666
372,강남구,개포2동,68.83333333333333
373,강남구,개포4동,117.66666666666666
374,강남구,세곡동,76.5
375,강남구,일원본동,104.66666666666666
376,강남구,일원1동,178.83333333333331
377,강남구,일원2동,153.33333333333331
378,강남구,수서동,101.33333333333334
379,송파구,풍납1동,144.16666666666669
380,송파구,풍납2동,118.5
381,송파구,거여1동,246.66666666666669
382,송파구,거여2동,347.5
383,송파구,마천1동,382.66666666666663
384,송파구,마천2동,249.16666666666669
385,송파구,방이1동,274.33333333333337
386,송파구,방이2동,327.66666666666663
387,송파구,오륜동,63.0
388,송파구,오금동,228.33333333333331
389,송파구,송파1동,384.0
390,송파구,송파2동,336.83333333333337
391,송파구,석촌동,362.16666666666663
392,송파구,삼전동,335.83333333333337
393,송파구,가락본동,274.83333333333337
