,건축물 대장 코드,동이름,건물이름,도로주소,용도,건축면적,대지면적
176,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
177,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
178,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
179,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
180,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
181,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
182,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
183,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
184,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
185,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
186,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
187,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
188,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
189,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
190,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
191,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
192,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
193,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
194,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
