연번,수신일시,현재주차차량수
1583603,2021-11-10 00:00:20,51
173821,2021-11-10 00:00:20,63
1434625,2021-11-10 00:00:20,91
1372128,2021-11-10 00:00:20,35
1588964,2021-11-10 00:00:20,97
173877,2021-11-10 00:00:20,67
1441362,2021-11-10 00:00:20,134
972221,2021-11-10 00:00:20,54
1415438,2021-11-10 00:00:20,372
765820,2021-11-10 00:00:20,87
816782,2021-11-10 00:00:20,21
1816135,2021-11-10 00:00:20,8
173750,2021-11-10 00:00:21,17
172580,2021-11-10 00:00:21,74
700094,2021-11-10 00:00:21,0
173582,2021-11-10 00:00:21,56
805691,2021-11-10 00:00:21,0
662512,2021-11-10 00:00:21,70
1021034,2021-11-10 00:00:21,52
832678,2021-11-10 00:00:21,27
1029107,2021-11-10 00:00:21,617
1380218,2021-11-10 00:00:21,159
866663,2021-11-10 00:00:21,14
1113401,2021-11-10 00:00:21,167
1568792,2021-11-10 00:00:21,0
1570038,2021-11-10 00:00:21,0
1495954,2021-11-10 00:00:21,0
1495594,2021-11-10 00:00:21,16
1495580,2021-11-10 00:00:21,0
