역명,승차총승객수,하차총승객수
이촌(국립중앙박물관),1901,1506
광명,2595,1546
서동탄,649,679
당정,2616,2553
천안,5021,4792
두정,3286,3617
직산,479,543
성환,1798,2287
평택,9807,10202
평택지제,2340,2132
서정리,3595,5927
송탄,2976,3876
진위,742,709
오산,6742,7507
오산대,1728,1681
세마,1408,1381
병점,7829,8665
세류,1703,1653
독산,4949,5259
수원,30134,28307
화서,3259,3126
성균관대,6249,6931
의왕,3474,3592
군포,2443,2453
금정,11130,11646
명학,2575,2598
안양,11263,10822
관악,3757,3347
석수,4205,4071
금천구청,5324,5153
가산디지털단지,3867,5643
구로,7787,7701
신길,3700,3570
신도림,1692,1663
영등포,29293,28250
대방,4796,5467
노량진,4725,4806
용산,31414,24205
남영,3803,4235
서울역,8276,1456
여주,1918,1566
세종대왕릉,223,198
부발,1652,2166
이천,1957,2065
신둔도예촌,817,710
곤지암,1333,1454
초월,1415,1415
경기광주,3581,3390
삼동,918,922
이매,563,449
판교,2469,2330
중앙보훈병원,2746,2709
둔촌오륜,350,392
올림픽공원(한국체대),4392,4333
한성백제,1049,1079
송파나루,2618,2984
석촌,3756,3520
석촌고분,2520,2735
삼전,2926,3136
종합운동장,1651,1751
봉은사,5861,6141
삼성중앙,1491,1670
선정릉,2156,2523
언주,2613,2890
신논현,13234,12492
사평,1353,1448
고속터미널,9114,10548
신반포,1328,1321
구반포,471,462
동작(현충원),1006,830
흑석(중앙대입구),3220,3460
노들,2110,1966
노량진,11771,13531
샛강,1347,1380
여의도,7506,6835
국회의사당,3731,3447
당산,6893,7440
선유도,2131,2391
신목동,1427,1327
염창,6847,7311
등촌,4364,4656
증미,2648,2964
가양,8201,8663
양천향교,3297,3844
마곡나루(서울식물원),4081,4380
신방화,3021,3038
공항시장,1523,1707
김포공항,7550,9801
개화,808,790
남위례,1560,1796
모란,2400,1983
수진,2671,2496
단대오거리,4737,4721
남한산성입구(성남법원.검찰청),5625,5333
산성,2646,2693
복정,3633,3498
장지,8000,8381
문정,3765,4409
가락시장,2587,3313
송파,3028,3320
석촌,3587,4643
잠실(송파구청),9634,10188
몽촌토성(평화의문),2790,2862
강동구청,3987,4302
천호(풍납토성),7651,9029
암사,7687,7350
굴포천,1,0
부천시청,1,0
까치울,1,0
온수(성공회대입구),3305,3365
천왕,4108,4039
광명사거리,10840,10749
철산,8706,8737
가산디지털단지,8629,8532
남구로,5838,5661
대림(구로구청),5775,5368
신풍,5060,4829
보라매,3405,3602
신대방삼거리,6506,6960
장승배기,3975,4120
상도,4128,4563
숭실대입구(살피재),4473,5149
남성,4508,4810
이수,7063,6924
내방,4272,4591
고속터미널,12940,6335
반포,2481,2420
논현,4758,5343
학동,4269,4686
강남구청,3931,4294
청담,4852,5229
뚝섬유원지,3615,3566
건대입구,7000,7162
어린이대공원(세종대),5046,5635
군자(능동),6208,5331
중곡,4591,4530
용마산(용마폭포공원),2638,3061
사가정,7612,7553
면목,6861,6848
상봉(시외버스터미널),8021,7896
중화,4689,4718
먹골,4637,4420
태릉입구,3813,3629
공릉(서울과학기술대),5330,5721
하계,7642,7262
중계,5599,5357
노원,10362,10194
마들,4913,4847
수락산,6744,6582
도봉산,4281,5950
장암,931,556
봉화산(서울의료원),3366,3339
화랑대(서울여대입구),4146,3548
태릉입구,2554,2678
석계,5373,5513
돌곶이,4200,4174
상월곡(한국과학기술연구원),2565,2421
월곡(동덕여대),4455,4723
고려대(종암),3120,3291
안암(고대병원앞),3458,4006
보문,3177,3249
창신,1373,1290
동묘앞,4739,4619
신당,3218,3066
청구,1380,1370
약수,1382,1418
