사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202109,7호선,중곡,1,0,4977,562,10684,3997,26373,10520,38117,17913,22487,8761,13912,7682,12229,7472,12246,8541,11968,9463,10901,10056,11342,12229,16152,13872,14953,18255,12235,27910,8713,24005,5329,13723,4789,13294,3757,12758,733,4912,9,314,0,0,0,0,0,0,20211003
202108,7호선,중곡,1,0,5281,566,11054,3927,26512,8196,38440,17643,23337,9125,13865,7684,11983,7517,11706,8699,11205,9361,10616,9707,10877,11633,11842,13525,13447,18153,11721,29295,8629,24636,5249,13979,4397,13073,3267,11767,675,4419,9,262,0,0,0,0,0,0,20210903
202107,7호선,중곡,1,0,5794,555,11946,4430,28557,9063,41946,18881,24960,9470,14222,8264,12338,7467,11878,8444,11196,9066,10077,9947,10266,11968,12729,13315,13576,18101,12472,31012,8896,25169,5415,14647,4558,12386,3539,13324,834,5606,2,128,0,2,0,0,0,0,20210803
202106,7호선,중곡,5,1,5608,577,12625,4861,31206,10653,46519,18936,25151,9636,14256,7966,12538,7549,12231,8399,11806,9217,10695,10362,11432,12530,16345,14510,16283,19378,13264,31248,9375,26209,5730,15908,5416,14211,4353,16144,1083,7459,4,124,0,0,0,0,0,0,20210703
202105,7호선,중곡,7,0,5143,592,11648,4570,28011,9743,42469,17527,24288,9506,14729,8153,12618,7739,13367,8398,13015,9295,11488,10475,11388,12795,15512,14922,15323,18513,12941,28937,8866,25475,5843,15859,5568,14405,4422,16098,1077,7432,6,141,0,0,0,0,0,0,20210603
202104,7호선,중곡,10,0,5406,534,12400,4426,31287,11052,46368,18674,25669,9215,14885,8156,12799,7557,13104,8078,12068,9214,11065,10026,11271,12867,16157,14535,15282,19314,13444,31191,9090,27489,5699,16198,4817,14405,4162,15898,1109,7130,7,136,0,0,0,0,0,0,20210503
202103,7호선,중곡,10,0,5232,503,12344,4613,31648,11197,46483,18174,24831,9388,14465,7871,12382,7850,13213,8416,12496,9533,11572,10487,12290,13396,17227,15687,15999,19590,14056,31068,9165,28342,5768,16454,5237,15203,4135,16233,984,7039,0,162,0,0,0,0,0,0,20210403
202102,7호선,중곡,1,0,4204,394,9498,3626,23734,6408,36839,14691,20704,7925,12395,6853,11948,7098,11776,7739,10915,8534,10686,9363,10185,11298,11386,12946,12007,16529,11104,25553,7224,23504,4839,13793,4677,15215,2805,11077,806,4721,1,110,0,0,0,0,0,0,20210303
202101,7호선,중곡,6,1,4537,437,10219,3637,25010,6256,39399,15038,21766,8220,12125,6975,10868,6761,10753,7743,10792,8427,10413,9404,9618,11700,10864,13272,12358,17587,11550,28230,7336,25399,5282,14732,4927,17804,2362,8375,739,3585,0,73,0,0,0,0,0,0,20210203
202012,7호선,중곡,0,0,4862,451,10601,4314,26061,7361,40265,16592,22137,8465,12705,7049,10941,6982,10576,7826,10851,8640,10227,9401,9949,11768,11511,13412,12215,18333,11251,29423,7662,23995,5147,14003,4403,15602,2404,7286,746,3396,1,83,0,0,0,0,0,0,20210103
