날짜,건국대학교병원,건국대학교사범대학부속중학교,뚝섬1주차장,뚝섬2주차장,뚝섬3주차장,뚝섬4주차장,래미안프리미어팰리스주차장,보건복지행정타운,성진강변스파랜드,스테이더디자이너스군자오피스텔주차장,실로암사우나중곡점주차장,연한빌딩,와이엠프라젠스파,편안한요양병원
04-17-21,36.874051593323216,90.0,40.298507462686565,2.528089887640449,43.75,56.61764705882353,0.0,100.0,94.9640287769784,76.0,58.46153846153847,19.148936170212767,2.4875621890547266,40.0
04-17-22,34.749620637329286,90.0,34.32835820895522,0.0,50.89285714285714,42.64705882352941,0.0,100.0,94.9640287769784,76.0,56.92307692307692,12.76595744680851,2.4875621890547266,35.38461538461539
04-17-23,32.62518968133536,90.0,38.80597014925373,0.0,32.142857142857146,44.85294117647059,0.0,100.0,94.9640287769784,76.0,56.92307692307692,4.25531914893617,1.4925373134328357,35.38461538461539
04-18-00,31.86646433990895,90.0,25.37313432835821,0.0,19.642857142857142,31.61764705882353,0.0,100.0,94.9640287769784,76.0,35.38461538461539,4.25531914893617,3.482587064676617,35.38461538461539
04-18-01,32.01820940819423,90.0,25.37313432835821,0.0,16.964285714285715,27.20588235294117,0.0,100.0,94.9640287769784,76.0,30.76923076923077,2.127659574468085,3.482587064676617,35.38461538461539
04-18-02,32.16995447647951,90.0,22.388059701492537,0.0,19.642857142857142,20.588235294117645,0.0,100.0,94.9640287769784,76.0,32.30769230769231,2.127659574468085,4.975124378109453,35.38461538461539
04-18-03,31.71471927162367,90.0,23.88059701492537,0.0,17.857142857142858,17.647058823529413,0.0,100.0,94.9640287769784,76.0,33.84615384615385,2.127659574468085,1.9900497512437807,35.38461538461539
04-18-04,32.32169954476479,90.0,23.88059701492537,0.0,19.642857142857142,19.852941176470587,0.0,100.0,94.9640287769784,76.0,36.92307692307693,2.127659574468085,1.9900497512437807,35.38461538461539
04-18-05,32.47344461305007,90.0,20.8955223880597,0.0,19.642857142857142,18.38235294117647,0.0,100.0,94.9640287769784,76.0,43.07692307692308,2.127659574468085,6.965174129353234,35.38461538461539
04-18-06,35.81183611532625,90.0,23.88059701492537,0.0,19.642857142857142,18.38235294117647,0.0,100.0,94.9640287769784,76.0,46.15384615384615,2.127659574468085,10.945273631840797,36.92307692307693
04-18-07,45.068285280728375,90.0,17.91044776119403,0.0,18.75,22.794117647058822,0.0,100.0,94.9640287769784,76.0,61.53846153846154,4.25531914893617,9.45273631840796,41.53846153846154
04-18-08,66.61608497723824,90.0,47.76119402985074,24.719101123595504,28.57142857142857,37.5,0.0,100.0,94.9640287769784,76.0,67.6923076923077,12.76595744680851,4.975124378109453,41.53846153846154
04-18-09,81.48710166919575,90.0,41.7910447761194,25.0,27.67857142857143,52.94117647058824,0.0,100.0,94.9640287769784,76.0,72.3076923076923,23.404255319148938,0.4975124378109453,53.84615384615385
04-18-10,88.31562974203338,90.0,47.76119402985074,26.40449438202247,29.464285714285715,58.08823529411765,0.0,100.0,94.9640287769784,76.0,70.76923076923077,36.17021276595745,2.4875621890547266,63.07692307692307
04-18-11,88.01213960546282,90.0,52.23880597014925,28.08988764044944,26.785714285714285,59.55882352941176,0.0,100.0,94.9640287769784,76.0,73.84615384615385,40.42553191489361,1.9900497512437807,60.0
04-18-12,76.02427921092566,90.0,44.776119402985074,28.08988764044944,28.57142857142857,64.70588235294117,0.0,100.0,94.9640287769784,76.0,67.6923076923077,46.80851063829788,0.4975124378109453,56.92307692307692
04-18-13,80.42488619119878,90.0,41.7910447761194,30.61797752808989,33.035714285714285,66.17647058823529,0.0,100.0,94.9640287769784,76.0,70.76923076923077,36.17021276595745,0.4975124378109453,60.0
04-18-14,84.9772382397572,90.0,67.16417910447761,35.674157303370784,44.642857142857146,67.64705882352942,0.0,100.0,94.9640287769784,76.0,69.23076923076923,36.17021276595745,7.462686567164178,53.84615384615385
04-18-15,85.43247344461305,90.0,70.1492537313433,42.13483146067416,43.75,69.11764705882352,0.0,100.0,94.9640287769784,76.0,61.53846153846154,57.44680851063831,7.462686567164178,53.84615384615385
04-18-16,71.77541729893778,90.0,67.16417910447761,36.51685393258427,57.14285714285714,67.64705882352942,0.0,100.0,94.9640287769784,76.0,66.15384615384615,40.42553191489361,10.945273631840797,52.30769230769232
04-18-17,53.86949924127465,90.0,44.776119402985074,37.35955056179776,43.75,61.02941176470589,0.0,100.0,94.9640287769784,76.0,72.3076923076923,36.17021276595745,8.45771144278607,47.69230769230769
04-18-18,45.220030349013655,90.0,56.71641791044776,27.808988764044944,40.17857142857143,55.88235294117647,0.0,100.0,94.9640287769784,76.0,58.46153846153847,34.04255319148936,5.970149253731343,41.53846153846154
04-18-19,42.4886191198786,90.0,52.23880597014925,27.247191011235955,39.285714285714285,47.794117647058826,0.0,100.0,94.9640287769784,76.0,58.46153846153847,51.06382978723404,4.975124378109453,38.46153846153847
04-18-20,41.27465857359636,90.0,64.17910447761194,28.370786516853936,36.60714285714285,57.35294117647059,0.0,100.0,94.9640287769784,76.0,66.15384615384615,34.04255319148936,4.975124378109453,36.92307692307693
04-18-21,39.30197268588771,90.0,71.64179104477611,35.674157303370784,38.392857142857146,63.97058823529412,0.0,100.0,94.9640287769784,76.0,61.53846153846154,34.04255319148936,3.482587064676617,36.92307692307693
04-18-22,37.329286798179055,90.0,53.73134328358209,33.98876404494382,38.392857142857146,68.38235294117648,0.0,100.0,94.9640287769784,76.0,44.61538461538462,23.404255319148938,1.9900497512437807,32.30769230769231
04-18-23,35.053110773899846,90.0,35.82089552238806,28.651685393258425,28.57142857142857,48.52941176470589,0.0,100.0,94.9640287769784,76.0,44.61538461538462,19.148936170212767,3.482587064676617,33.84615384615385
04-19-00,33.0804248861912,90.0,35.82089552238806,20.50561797752809,24.107142857142858,44.11764705882353,0.0,100.0,94.9640287769784,76.0,36.92307692307693,2.127659574468085,2.4875621890547266,33.84615384615385
04-19-01,32.77693474962064,90.0,34.32835820895522,12.640449438202248,22.321428571428573,37.5,0.0,100.0,94.9640287769784,76.0,36.92307692307693,2.127659574468085,3.482587064676617,35.38461538461539
04-19-02,32.32169954476479,90.0,34.32835820895522,12.640449438202248,20.535714285714285,32.35294117647059,0.0,100.0,94.9640287769784,76.0,35.38461538461539,2.127659574468085,4.477611940298507,35.38461538461539
04-19-03,32.01820940819423,90.0,35.82089552238806,12.359550561797752,17.857142857142858,28.676470588235293,0.0,100.0,94.9640287769784,76.0,32.30769230769231,2.127659574468085,1.4925373134328357,35.38461538461539
04-19-04,32.32169954476479,90.0,38.80597014925373,12.07865168539326,18.75,29.411764705882355,0.0,100.0,94.9640287769784,76.0,32.30769230769231,2.127659574468085,2.4875621890547266,35.38461538461539
